Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32,Topic 33,Topic 34,Topic 35,Topic 36,Topic 37,Topic 38,Topic 39,Topic 40,Topic 41,Topic 42,Topic 43,Topic 44,Topic 45,Topic 46,Topic 47,Topic 48,Topic 49,Topic 50,Topic 51,Topic 52,Topic 53,Topic 54,Topic 55,Topic 56,Topic 57,Topic 58,Topic 59,Topic 60,Topic 61,Topic 62,Topic 63,Topic 64,Topic 65,Topic 66,Topic 67,Topic 68,Topic 69,Topic 70,Topic 71,Topic 72,Topic 73,Topic 74,Topic 75,Topic 76,Topic 77,Topic 78,Topic 79,Topic 80
book,county,dance,pm,bank,military,cars,day,mr,casino,salt,editor,environmental,like,women,coach,tournament,black,rangers,race,city,united,percent,ms,mr,club,company,drug,m,music,mr,wine,market,building,china,soviet,film,church,fashion,tax,advertising,yards,party,computer,hotel,mr,economic,article,art,estate,israel,boxing,european,police,players,species,senate,theater,can,quarter,television,bonds,space,court,airlines,university,oil,yankees,health,mr,de,points,immigration,dont,music,dr,school,workers,city,law
books,city,ballet,street,banks,forces,car,back,president,pm,cup,political,energy,life,men,league,tennis,white,game,olympic,mayor,states,rate,children,prosecutors,diamond,million,prison,b,opera,investigation,restaurant,stock,street,chinese,russian,movie,catholic,stores,budget,president,game,government,internet,hotels,one,economy,misstated,museum,housing,israeli,fight,germany,said,league,water,republican,film,light,million,show,million,navy,judge,passengers,graduated,gas,mets,care,campaign,que,game,immigrants,im,songs,patients,students,union,state,commission
novel,residents,dancers,avenue,funds,army,ford,one,clinton,gambling,add,war,water,one,gay,football,golf,blacks,goal,racing,mr,administration,economy,family,trial,king,companies,inmates,c,orchestra,said,food,stocks,buildings,korea,russia,characters,jewish,store,taxes,executive,giants,minister,technology,beach,even,india,correction,artists,rent,palestinian,tyson,german,officers,team,animals,house,broadway,metal,share,news,securities,air,law,airport,father,energy,game,hospital,democratic,el,knicks,border,think,album,disease,schools,labor,new,rules
author,said,theater,museum,financial,war,vehicles,man,white,vegas,pepper,us,nuclear,seems,sexual,basketball,match,racial,scored,won,york,mr,year,mother,charges,south,shares,drugs,page,symphony,report,restaurants,trading,room,hong,moscow,directed,religious,designer,billion,vice,quarterback,mr,software,visitors,can,trade,york,gallery,apartment,palestinians,champion,europe,officer,baseball,trees,senator,films,plastic,cents,cable,percent,military,justice,airline,york,barrels,inning,medical,voters,la,scored,los,get,band,health,education,employees,said,federal
writing,jersey,dancing,theater,fund,troops,auto,night,house,las,oil,people,plant,sense,sex,players,open,south,games,olympics,citys,president,growth,parents,case,spade,stock,marijuana,f,concert,officials,menu,dollar,avenue,chinas,union,films,jews,clothes,spending,company,season,political,online,travel,many,countries,incorrectly,paintings,apartments,arab,bout,france,fire,teams,fish,republicans,movie,use,earnings,cbs,corp,aircraft,supreme,transportation,ny,prices,innings,patients,trump,en,season,angeles,just,jazz,cancer,college,jobs,homeless,state
published,project,dancer,tickets,loans,soldiers,gm,room,reagan,casinos,minutes,americans,climate,even,female,team,round,whites,goals,races,new,american,prices,child,judge,saudi,billion,crime,d,piano,information,sauce,prices,house,kong,putin,story,pope,designers,money,chief,jets,prime,companies,miles,now,growth,misidentified,exhibition,property,lebanon,heavyweight,french,gun,sports,plants,democrats,mr,inches,income,nbc,inc,nasa,case,flight,son,petroleum,season,insurance,republican,y,coach,san,like,song,medical,teachers,unions,york,laws
writers,town,ms,th,investors,killed,drivers,told,bush,st,heat,world,power,world,woman,contract,won,african,team,horse,giuliani,iran,rates,mrs,jury,clubs,companys,cocaine,farm,hall,department,wines,dow,square,beijing,nuclear,miss,roman,dress,cuts,mr,yard,parliament,data,island,much,government,new,artist,tenants,gaza,title,countries,shooting,season,birds,bill,play,water,sales,network,yield,shuttle,courts,transit,daughter,drilling,runs,hospitals,election,mexico,team,california,going,mr,study,university,work,hurricane,regulations
literary,development,company,will,money,iraq,chrysler,just,presidents,vs,cook,america,plants,seem,womens,sports,players,africa,hockey,track,cuomo,officials,market,said,court,ace,business,prisoners,farmers,musical,intelligence,dinner,index,space,north,russians,character,religion,wear,income,marketing,football,opposition,users,rooms,example,africa,column,painting,real,israelis,king,united,killed,player,animal,congress,production,used,loss,viewers,notes,plane,legal,air,mrs,production,games,doctors,candidates,mexican,games,migrants,know,rock,drug,student,job,housing,legislation
writer,new,choreographer,free,loan,afghanistan,motors,morning,johnson,indian,tablespoons,can,emissions,man,male,athletic,tour,race,devils,athletes,council,nuclear,economic,father,prison,west,said,jail,e,mr,documents,chef,exchange,bedroom,korean,russias,love,bishop,ms,million,chairman,coach,elections,company,town,may,companies,error,museums,buyers,israels,ali,britain,man,yankees,wildlife,committee,actors,wood,net,tv,co,flight,lawyers,flights,wife,gulf,hit,medicare,party,un,nets,asylum,thats,singer,researchers,high,strike,officials,policy
read,state,choreography,sunday,billion,government,vehicle,said,clintons,television,garlic,american,gas,yet,marriage,signed,cup,civil,season,cup,bloomberg,nations,sales,husband,guilty,queen,inc,prisons,j,composer,fbi,dishes,d,kitchen,south,gorbachev,movies,cardinal,clothing,federal,media,touchdown,leader,computers,mountain,says,foreign,referred,show,building,peace,round,japanese,mr,fans,forest,democrat,musical,puzzle,company,abc,bond,crew,ruling,train,mother,saudi,sox,children,democrats,una,basketball,refugees,can,pop,research,colleges,wage,storm,agency
wrote,community,dances,saturdays,banking,taliban,sales,went,secretary,atlantic,butter,must,carbon,much,gender,teams,play,africanamerican,islanders,gold,governor,foreign,increase,daughter,lawyer,heart,corporation,heroin,r,performance,trump,chicken,futures,th,kim,ukraine,comedy,christian,dresses,pay,agency,bowl,leaders,web,trip,say,indian,name,works,buildings,syria,ring,japan,shot,games,tree,representative,plays,surface,operations,shows,due,earth,federal,traffic,died,gasoline,league,medicaid,political,los,rebounds,illegal,want,bands,virus,parents,contract,people,proposal
